grna_target,weighted_score
Eng,-37.4441892001453
Smad4,-3.270266894059514
Notch1,-1.7507942181790783
Tgfbr1,-0.8005164551008837
Itgb1,-0.8165677711906342
Cxcr4,-0.6702218122251765
Gata2,-0.5532072474592389
Pbx1,-0.49207843900147424
Myef2,-0.4971767622572482
Egln2,-0.4014555989362411
Bmpr2,-0.33559212075012085
Fgfr2,-0.4013420680357583
Vezf1,-0.2575777930328699
Egln1,-0.2636052756332809
Hdac7,-0.2409059524021944
Tek,-0.008073794792436213
Itga1,-0.1806169054720609
Foxp1,-0.18283241437710424
Mest,-0.17412347682870188
Sp4,-0.1921245545438103
Foxo3,-0.13366958360925088
Bsg,-0.10954831262759196
Nos3,-0.11409590182598854
Nfatc1,-0.10376679683689376
Ccm2,-0.116491222696105
E2f3,-0.11403000331501101
Foxo1,-0.101821876148665
Id1,-0.0966602093203672
Pbx3,-0.11775159896113842
Ebf1,-0.09220569465366758
Rora,-0.10591359546938953
Nr2c2,-0.010197428115119053
Mpzl1,-0.018000594475260506
Gja1,-0.09103612366992347
Npas3,-0.07731182966259635
Smad5,-0.0024387749432171237
Ptprm,-0.08658177468716698
Ptk2,-0.09124641998231586
Igf2r,-0.07728804714946712
Nfia,-0.06569243194086265
Yap1,-0.09693300422009514
Cxcl12,-0.06397204573892679
Rad21,-0.00743316026978632
Il2rg,-0.0721483358236109
Junb,-0.07649336597366674
Klf2,-0.007009447657858223
Id3,-0.07241707020110491
Rac1,-0.08133054815574756
Tlnrd1,-0.0765926500290427
Mcam,-0.009676508811163852
Taz,-0.016139928426764323
Arid3b,-0.008309914199080885
Piezo2,-0.05666710933242327
Klf4,-0.05841899113921118
Fzd6,-0.008319649191877035
Gnai2,-0.014041144145429396
Ccser1,-0.017854204297980042
Auts2,-0.014458671469204421
Adgrl1,-0.002221744618956183
Nedd4,-0.04886514764905217
Ahr,-0.05255800251260828
Tfdp1,-0.010092899985944594
Ncl,-0.014523000462459875
Klf10,-0.04788417153728091
Ppia,-0.046276314826744394
Gng12,-0.008165831237748286
Plxnd1,-0.049478911379410684
Mecom,-0.037657387404877396
Unc5b,-0.011373563198675937
Mxi1,-0.014170332532488953
Ctbp2,-0.04023354429441763
Ephb4,-0.040135011635889846
Plxna4,-0.010097199091582522
Casp8,-0.04035172158579718
Lpl,-0.038399677919494765
Sox13,-0.013919465333709509
Klf12,-0.036922274868556905
Dusp3,-0.010166854966892793
Dlg1,-0.03445662813797182
Nr6a1,-0.032682166054220835
Rel,-0.026728389224100948
Icam2,-0.012425271012588534
Ocln,-0.009864935385510911
Rbpj,-0.022918611289912575
Igf1r,-0.0075969629770736465
Dag1,-0.00932350849239053
Adgre5,-0.009744667985887415
Adgrl2,-0.025479111384859445
Heg1,-0.027616796924116796
Piezo1,-0.019427367886242615
Ncoa3,-0.007884504319571358
Arl15,-0.01892638537299838
Maff,-0.01722236021628728
Fos,-0.011392702800464316
Epha4,-0.014309848703325617
Creb5,-0.014270328538367252
Acvr1,-0.01485493366451981
Idh2,-0.007853375548004084
Pik3r3,-0.011904881030615024
Eno1,-0.012449530534638157
Plxna2,-0.00952237950444059
Dach1,-0.008989108865326181
Gria4,-0.00634284825330602
Clstn1,-0.011447600064872488
Prdm5,-0.0076442544662920706
E2f7,-0.011753658734523274
Gjc1,-0.010245598065858117
Arid1b,-0.010036036826584344
Itgav,-0.00584306057483802
Klf7,-0.005814111664084351
Slc6a6,-0.00472223089356708
Crim1,-0.006029893618882036
Zfpm1,-0.004921375012428658
Crem,-0.0048004653272023965
Atf3,-0.004661740459198567
Disc1,-0.006375226880121114
Flrt2,-0.004747154181429455
Pon3,-0.00459439997302254
Nr4a1,-0.005441465265840205
Flt1,-0.004861389022801607
Tgfbr2,-0.005437640409898651
Sox5,-0.00419353795769126
Ptprs,-0.005658292312852381
Nrp1,-0.00474076488998653
Cd47,-0.003320852551153044
Calcrl,-0.0032227577363533066
Ogdh,-0.002961290840784388
Foxj3,-0.0038324413213318247
Elf1,-0.003375550653932131
Smad1,-0.003293268371264715
Cdkn1c,-0.0025756089055163954
Foxk2,-0.0029449329892977235
Nr5a2,-0.0024669051484280686
Vav3,-0.0017685397842145997
Mdh2,-0.0018674539535809566
Nr3c1,-0.0010215882247997753
Pkm,-0.0010128651043784806
Prdm16,-0.00065888383798259
Tfdp2,-0.0005989481687778323
Prdm1,-0.0001696762969902663
