grna_target,weighted_score
Tek,0.26559645572142415
Ccnd1,0.13706393165015124
Creb3l2,0.0929021765000855
Ccser1,0.08511301130134792
Flt4,0.09693444031708395
Nrp2,0.10274561056348859
Hspa5,0.06989419984423759
Epas1,0.03680227641635481
Plagl1,0.043760462422236586
Crim1,0.05981568172155468
Hsp90ab1,0.05033035580656971
Mxi1,0.023081200681836025
Fzd6,0.03895588822375982
Zfhx3,0.03417439823539958
Gng12,0.028196758926717698
Tfdp1,0.032924377745822374
Ncoa3,0.022703794033920293
Mpzl1,0.017236684342892928
Nr4a1,0.013841294614146524
Ncoa1,0.018541986975692423
Creb5,0.023848010105498776
Prdm16,0.018008170608098114
Cd81,0.014566087761515752
Fkbp8,0.01710551814528893
Foxk2,0.017080402161417756
Ncl,0.013580053686437941
Idh2,0.012808941061357751
Unc5b,0.009779465305209097
Egfl7,0.009907809217521655
Sox5,0.007878300413089553
Nr2c2,0.004566097125840985
Ets2,0.0035807858515148876
Rad21,0.007066698318950077
Adgre5,0.006458856839351191
Flt1,0.0068434192789110036
Arid3b,0.006620809018588353
Kdr,0.0037815748437878167
Fos,0.0014589562778121905
Ctbp2,0.003530655721605833
Gnai2,0.0009285377467541027
Taz,5.850712239887508e-05
Sp4,0.00035845227920507593
Igf1r,0.0009229174185530497
Dusp3,0.0007914967533549009
Klf4,0.0012606184911940269
Hif1a,2.184270741296959e-05
Klf2,0.00022039324939794434
Smad5,0.0003953919668429543
Itgav,0.00010246578874377135
Mdh2,3.1269072874262046e-05
Dag1,0.0001860718529798187
Cdkn1c,3.6255641814063834e-05
