gene,score,pvalue,fdr
Acvr2a,0.0078125,0.030885692685842514,1.0
Fkbp8,0.015625,0.061050355434417725,1.0
Tek,0.018867924528301886,0.07336244773924427,1.0
Arid3b,0.0234375,0.09050529822707176,1.0
Cd81,0.03125,0.1192617416381836,1.0
Tfdp1,0.03125,0.1192617416381836,1.0
Ccnd1,0.03773584905660377,0.1426123451789567,1.0
Kdr,0.0390625,0.14733081683516502,1.0
Nr2c2,0.046875,0.1747235655784607,1.0
Rad21,0.046875,0.1747235655784607,1.0
Nr4a2,0.0546875,0.20145094022154808,1.0
Nrp2,0.05660377358490566,0.20790633676197934,1.0
Mpzl1,0.0625,0.2275238037109375,1.0
Flt4,0.07547169811320754,0.26939802529148726,1.0
Ccser1,0.078125,0.2777490019798279,1.0
Fzd4,0.09375,0.3254842758178711,1.0
Creb3l2,0.09433962264150944,0.3272379719309887,1.0
Pik3r3,0.1015625,0.3484443984925747,1.0
Cdkn1c,0.109375,0.3708133101463318,1.0
Creb5,0.109375,0.3708133101463318,1.0
Hspa5,0.125,0.413818359375,1.0
Zfhx3,0.125,0.413818359375,1.0
Ets2,0.13043478260869565,0.4282467544069669,1.0
Nfib,0.1328125,0.43447470292449,1.0
Gjc1,0.140625,0.45458024740219116,1.0
Egfl7,0.1484375,0.4741448722779751,1.0
Crim1,0.1509433962264151,0.48030734754953464,1.0
Unc5b,0.15625,0.4931783676147461,1.0
Dusp3,0.1640625,0.5116904340684414,1.0
Hsp90ab1,0.16981132075471697,0.5249851054707564,1.0
Plxna2,0.171875,0.529690682888031,1.0
Ncoa1,0.17391304347826086,0.5343034080066895,1.0
Crem,0.1796875,0.5471886359155178,1.0
Gclm,0.1875,0.5641937255859375,1.0
Klf7,0.1875,0.5641937255859375,1.0
Plagl1,0.18867924528301888,0.5667183027245106,1.0
Dag1,0.1953125,0.5807152949273586,1.0
Piezo2,0.203125,0.5967625975608826,1.0
Smad5,0.203125,0.5967625975608826,1.0
Fzd6,0.20754716981132076,0.6056392506363046,1.0
Epas1,0.22641509433962265,0.6418772188919788,1.0
Cd47,0.2265625,0.6421501003205776,1.0
Igf1r,0.2421875,0.6702027283608913,1.0
Icam2,0.2578125,0.6965727768838406,1.0
Pon3,0.265625,0.7091483473777771,1.0
Eno1,0.2734375,0.7213289104402065,1.0
Gng12,0.2830188679245283,0.7357403179856842,1.0
Elf1,0.2890625,0.7445383630692959,1.0
Disc1,0.296875,0.7555837035179138,1.0
Mdh2,0.3046875,0.7662669382989407,1.0
Prdm1,0.3125,0.7765960693359375,1.0
Mxi1,0.32075471698113206,0.7871338895562894,1.0
Mecom,0.3359375,0.8055375181138515,1.0
Ncoa3,0.33962264150943394,0.8098183114565511,1.0
Ebf1,0.359375,0.8315715193748474,1.0
Ctbp2,0.3671875,0.8396384678781033,1.0
Ocln,0.375,0.847412109375,1.0
Prdm16,0.37735849056603776,0.8497023185278566,1.0
Adgrl1,0.3828125,0.8548996411263943,1.0
Klf2,0.390625,0.8621081709861755,1.0
Id1,0.40625,0.8757162094116211,1.0
Casp8,0.4140625,0.8821294866502285,1.0
Ncl,0.421875,0.8882912993431091,1.0
Fos,0.4296875,0.8942083083093166,1.0
Foxk2,0.4339622641509434,0.8973446612443525,1.0
Adgrl2,0.4375,0.8998870849609375,1.0
Tfdp2,0.4453125,0.905334111303091,1.0
Flt1,0.4609375,0.9155583940446377,1.0
Nr5a2,0.46875,0.9203481674194336,1.0
Slc6a6,0.46875,0.9203481674194336,1.0
