gRNA_group,weighted_score
Vav3,-7.409019012049952e-05
Mest,-0.000327305162423611
E2f7,-0.0005206440402045088
Arid1b,-0.0008750339014289297
Prdm16,-0.001712833832433768
Npas3,-0.0009385537629075024
Rel,-0.001382054440921622
Itgav,-0.0009184918491499686
Id3,-0.0011374471327093075
Gata2,-0.0018406593285043567
Hdac7,-0.0035647184476951805
Nos3,-0.0024678052766089202
Junb,-0.003240645667123831
Gng12,-0.008721688719855607
Pbx1,-0.009300043598604446
Ptprm,-0.007989743286160055
Bsg,-0.01418135530077462
Atf3,-0.017112586170308808
Nfatc1,-0.03980572650203573
Idh2,-0.030237607832273777
Plxna4,-0.015210946259242963
Fzd6,-0.03390009820158972
Piezo1,-0.05432661384029024
Heg1,-0.050880806683789824
Tgfbr2,-0.06801891397436449
Cxcr4,-0.12887225329782576
Plxnd1,-0.07434620920742184
Sox5,-0.06915564921809635
Smad4,-0.1965834659423001
Klf10,-0.11056893965393536
Fgfr2,-0.19804788536030618
Tgfbr1,-1.3323447340419474
Myef2,-0.476178090650902
Eng,-6.212749081831456
Cd81,-1.3076585388433268
