grna_target,weighted_score
Acvr2a,0.1961487368161579
Ets2,0.10472719568112378
Ccnd1,0.13973763575722473
Egfl7,0.05713098364950686
Ncoa1,0.08552443961675738
Creb3l2,0.05089521860584492
Fzd4,0.07968668540908226
Zfhx3,0.037420671447633544
Cd81,0.01433256604297343
Epas1,0.008548192004692354
Flt4,0.027384394326312685
Nr4a2,0.010220817744519089
Kdr,0.012045242031262024
Nfib,0.007780638390120257
Hspa5,0.0039791141148691166
Plagl1,0.008739147109540824
Hsp90ab1,0.010153281204825552
Fkbp8,0.006339846355752684
Hif1a,0.003701949936484151
Arnt,0.0021391614685200505
Gclm,0.00512486112173035
Nrp2,0.003156371159249125
