grna_target,weighted_score
Tgfbr1,-6.0973173794050055
Eng,-4.652514463420204
Smad4,-1.2112325825180486
Tgfbr2,-0.8626188634889526
Cxcr4,-0.4125661284173368
Itgb1,-0.2843690397610847
Epha4,-0.200707991582632
Itga1,-0.14389435429624295
Pbx1,-0.14779025319979705
Nfia,-0.10031506798010166
Myef2,-0.13183784658451697
Fgfr2,-0.1531065374586791
Cxcl12,-0.1027769761015026
Notch1,-0.11789568040851163
Ccm2,-0.09561374805485151
Foxp1,-0.08450572942662467
Piezo2,-0.05768219430046267
Ephb4,-0.07782844983817369
Lpl,-0.06530903758640673
Id1,-0.059460812483499825
Nrp1,-0.06030727934525092
Nfatc1,-0.04237339293239586
Foxo3,-0.0526531211525168
Vezf1,-0.04345836479168804
Bmpr2,-0.04452353728754952
Nedd4,-0.050877902340821644
Arl15,-0.04432854564813874
Rora,-0.0440041060967082
Il2rg,-0.039306108676259034
Calcrl,-0.03839234152157077
Atf3,-0.03598500972042342
Mest,-0.030959467032330157
Junb,-0.03012430392855164
Pbx3,-0.03347252170495056
Smad1,-0.026740579201950797
Elf1,-0.024582928695753327
Nr6a1,-0.020154939969141986
Igf2r,-0.018911863472163854
Maff,-0.016580910333064733
Klf12,-0.015425717866055795
Id3,-0.016883513174810887
Clstn1,-0.01445376020857777
Ebf1,-0.011108131899952571
Ptprm,-0.011484135616620792
Foxo1,-0.010307572875928534
Mecom,-0.011334423514806818
Egln1,-0.00979987162688522
Rbpj,-0.00909396808101375
Eno1,-0.009532447023535841
Pik3r3,-0.008521885790558141
Cd47,-0.011744901237753588
Prdm1,-0.00752308605515253
Tlnrd1,-0.009767712690915113
Pkm,-0.007685589011581178
Egln2,-0.008890663468041078
Gjc1,-0.009304391543552224
Casp8,-0.008781179077195563
Npas3,-0.00635374291295817
Hdac7,-0.008824457885416997
Rac1,-0.008171853546331136
Slc6a6,-0.005753018549413023
Gja1,-0.0044419423850756345
Rel,-0.004747245014918121
Vav3,-0.005475109528593676
Gria4,-0.0036587344528999587
Yap1,-0.004880037505264907
Klf10,-0.004222659345733763
Gata2,-0.0031881781008364788
Ogdh,-0.0002495979779295088
Dlg1,-0.004019946129501005
Nr3c1,-0.003637052669794037
Ptprs,-0.003922947376544005
Adgrl1,-0.0038158463176559405
Acvr2a,-0.0001730600903705544
Zfpm1,-0.0033366743031761543
Ppia,-0.0025299080151963385
Plxnd1,-0.002717935005487796
Klf7,-0.0022661964030734286
Tfdp2,-0.0022650405791187255
Adgrl2,-0.0025749860769647493
Foxj3,-0.0001347472823680165
Dach1,-0.0006024262464208554
Flrt2,-0.002132451063060572
Plxna2,-0.0003939841910668297
Mcam,-0.0017738939608865638
Ptk2,-0.0019810438213292716
Ahr,-0.001477173899590554
Arnt,-0.0010729499326657087
Sox13,-0.00048279120164991155
Piezo1,-0.0008465525008600087
E2f3,-0.0013214478952171932
Ocln,-0.0002303389920533543
Icam2,-0.0011925820792760679
E2f7,-0.0013258013497506756
Bsg,-0.0002851706158841576
Nr4a2,-0.0007510917802144685
Arid1b,-0.0007970579237996854
Disc1,-8.083409412247096e-05
Pon3,-0.0007955094107785876
Plxna4,-0.0002843806369862674
Nr5a2,-0.00032025093024710667
Nfib,-0.0002688713874398757
Crem,-0.00018047801315181696
Acvr1,-0.00015231080050039515
Prdm5,-0.00011576875783212168
Nos3,-6.437823115086841e-05
Gclm,-8.135849805095969e-05
Auts2,-8.850428426734877e-05
Fzd4,-3.657600142897175e-05
Heg1,-7.505770463831038e-05
