gene,score,pvalue,fdr
Acvr2a,0.0078125,0.060817459359000736,1.0
Crim1,0.008403361344537815,0.06528251381777783,1.0
Ccnd1,0.00847457627118644,0.06581941848028106,1.0
Ncoa1,0.00980392156862745,0.07579222836778832,1.0
Fkbp8,0.015625,0.11837356497016671,1.0
Yap1,0.01680672268907563,0.12680507520164253,1.0
Tek,0.018867924528301886,0.14134284674019515,1.0
Zfhx3,0.0196078431372549,0.14650962880988871,1.0
Arid3b,0.0234375,0.17281938744697234,1.0
Tfdp1,0.025423728813559324,0.18618317484047608,1.0
Cd81,0.03125,0.22430012025779433,1.0
Prdm16,0.03361344537815126,0.2393111829740927,1.0
Kdr,0.0390625,0.2729552640810131,1.0
Fos,0.04201680672268908,0.2906458407226844,1.0
Egfl7,0.0423728813559322,0.2927523885391493,1.0
Nr2c2,0.046875,0.31891880678847073,1.0
Rad21,0.046875,0.31891880678847073,1.0
Plagl1,0.05042016806722689,0.33892329050693304,1.0
Nrp2,0.05084745762711865,0.3412993031141809,1.0
Nr4a2,0.0546875,0.36231939912695044,1.0
Nos3,0.058823529411764705,0.38430094046040963,1.0
Smad5,0.059322033898305086,0.3869050034967453,1.0
Mpzl1,0.0625,0.4032805261667818,1.0
Mdh2,0.06722689075630252,0.4269293860775798,1.0
Ncl,0.06862745098039216,0.433777049843994,1.0
Flt4,0.07547169811320754,0.4662207545520217,1.0
Fzd6,0.07563025210084033,0.4669526481683657,1.0
Mxi1,0.07627118644067797,0.46990229368673786,1.0
Ccser1,0.078125,0.47835349585886533,1.0
Idh2,0.0784313725490196,0.47973878037860973,1.0
Flt1,0.08403361344537816,0.5045084045239059,1.0
Ahr,0.09243697478991597,0.5397282154053011,1.0
Fzd4,0.09375,0.5450285378310582,1.0
Creb3l2,0.09433962264150944,0.5473912535884708,1.0
Pik3r3,0.1015625,0.5754752981442972,1.0
Epas1,0.1016949152542373,0.5759755849864141,1.0
Heg1,0.1092436974789916,0.6036569647186143,1.0
Cdkn1c,0.109375,0.6041241093109839,1.0
Creb5,0.109375,0.6041241093109839,1.0
Disc1,0.11016949152542373,0.6069404667407201,1.0
Tlnrd1,0.11764705882352941,0.6326003811519284,1.0
Hspa5,0.125,0.6563910841941833,1.0
Itgav,0.12605042016806722,0.6596772176109347,1.0
Ets2,0.13043478260869565,0.6730982261538327,1.0
Nfib,0.1328125,0.6801811383676561,1.0
Gnai2,0.13559322033898305,0.6882938897605374,1.0
Gjc1,0.140625,0.702517293476145,1.0
Foxk2,0.15126050420168066,0.730725455994438,1.0
Unc5b,0.15625,0.7431318329463465,1.0
E2f3,0.15966386554621848,0.7513294763692883,1.0
Adgre5,0.16101694915254236,0.7545146959023306,1.0
Dusp3,0.1640625,0.7615537678197328,1.0
Ocln,0.1694915254237288,0.7736645677025279,1.0
Hsp90ab1,0.16981132075471697,0.7743608499753716,1.0
Plxna2,0.171875,0.7788091462376734,1.0
Gata2,0.17647058823529413,0.7884403136889404,1.0
Crem,0.1796875,0.7949618685559505,1.0
Dlg1,0.18487394957983194,0.8051061284165351,1.0
Gclm,0.1875,0.8100728911813349,1.0
Klf7,0.1875,0.8100728911813349,1.0
Dag1,0.1953125,0.8242003360921482,1.0
Ncoa3,0.20168067226890757,0.8350268939640362,1.0
