grna_group,weighted_score
Sox5,-1.3522994874704395
Eng,-3.641551697638526
Myef2,-1.2659088158338951
Tgfbr1,-1.43024602916118
Smad4,-0.8706653950870952
Tgfbr2,-0.9390234238722616
Rac1,-0.3494727070745632
Heg1,-0.33887281514064665
Cxcr4,-0.6944502156702103
Gng12,-0.3079212717494704
Arid1b,-0.2602121454640108
Itgav,-0.19935907230828265
Fgfr2,-0.6651833615180961
Ptprm,-0.2732302370142268
Tlnrd1,-0.5394667285227309
Nos3,-0.3333692698867833
Plxnd1,-0.18065128770099356
Ephb4,-0.132578202027736
Rel,-0.25330100242779374
Prdm16,-0.21273319497026585
Rbpj,-0.2199844589489411
Nfatc1,-0.3580472428995746
Hdac7,-0.1903009837995845
Hif1a,-0.10834583677984476
Bsg,-0.4000525013444626
Klf10,-0.15007261624733662
Egln1,-0.12685967097599057
Atf3,-0.1738266633300945
Foxp1,-0.08634006598134712
Igf2r,-0.1584956063881504
Vav3,-0.12336201114243268
Junb,-0.22589990174527136
Prdm5,-0.1294452995722519
Ccm2,-0.1178642853521953
Mest,-0.13381842526372556
Pbx1,-0.1140031636847063
Cxcl12,-0.1690437475965303
Idh2,-0.21213066050464086
Piezo1,-0.15865411566396942
Ptk2,-0.08789239339048961
E2f7,-0.10969142885205212
Ahr,-0.06106535475563701
Clstn1,-0.06204341445426677
Bmpr2,-0.07421157999098447
Rora,-0.12251978742109071
Egln2,-0.05429989768597811
Fzd6,-0.06260487849919291
Itga1,-0.09984397709126577
Sp4,-0.07396799013362995
Nfia,-0.10667405805750714
Notch1,-0.039128984772997207
Foxo1,-0.09005720700827363
E2f3,-0.07737773332176542
Flrt2,-0.06748356683360816
Yap1,-0.026249874376229082
Nrp1,-0.055140539070438
Itgb1,-0.05338524864424515
Id3,-0.04225874197835915
Arl15,-0.03635854088594552
Klf12,-0.06673678093605019
Pbx3,-0.03214350602480674
Auts2,-0.029938000539034382
Nr4a1,-0.022691758063755545
Hsp90ab1,-0.013851286016592806
Lpl,-0.023584181032132206
Acvr1,-0.025771229916534546
Klf4,-0.05556624948182156
Plxna4,-0.03145325221266347
Adgre5,-0.02325936281820986
Npas3,-0.030693512347775745
Maff,-0.015326950393399099
Nedd4,-0.019371537592000665
Ppia,-0.018890324297922263
Arnt,-0.014879619378095671
Vezf1,-0.01569942337395892
Fos,-0.007646798325709005
Sox13,-0.012265803585374336
Id1,-0.01409134200758582
Nr3c1,-0.008643816788089571
Smad1,-0.009713570071415913
Gnai2,-0.008205307435992194
Elf1,-0.004175316279678452
Calcrl,-0.004944339358662763
Tfdp2,-0.005849002249855378
Crim1,-0.003892878698772479
Il2rg,-0.005401740993637525
Dag1,-0.0024533367476709303
Prdm1,-0.0026235540570880467
Gata2,-0.0026503882773373714
Foxk2,-0.0009012997234090053
Dlg1,-0.0006500977718704393
Foxo3,-0.0011340391102926028
Gria4,-0.0008795377761872272
Ets2,-0.0005386764103883684
Epas1,-0.0001364107330611929
Plxna2,-4.2918078653675564e-05
Casp8,-3.1212987067934135e-05
Ebf1,-2.3799372756652907e-06
Taz,-1.3427454523680803e-06
