gRNA_group,weighted_score
Ccnd1,0.6634912788954922
Mxi1,0.4142675226907118
Egfl7,0.49401512601324266
Epas1,0.31875820214660594
Smad5,0.4343104396962084
Ncoa1,0.6632321558474641
Tfdp1,0.5371627710396519
Mpzl1,0.2810334039625143
Zfhx3,0.5254807176386538
Nrp2,0.45798230655113725
Tek,0.23069870116577143
Ccser1,0.3736318786806672
Adgre5,0.2418703200499519
Yap1,0.24450007047140826
Crim1,0.4143361357859565
Flt1,0.24256355617443767
Acvr2a,0.2672984466532265
Creb5,0.19547936320339201
Disc1,0.28656635134895747
Ocln,0.23314830159648295
Cd81,0.36330044937763334
Nr2c2,0.1782531361684502
Plagl1,0.17106558741417302
Fzd6,0.14230274321901729
Gnai2,0.24744530281919255
Creb3l2,0.19427213436038457
Nr4a1,0.16082224124731617
Flt4,0.12112693662094762
Arid3b,0.20208521543696006
Plxna2,0.14781588188588646
Plxna4,0.1493274228621993
Heg1,0.10567073376607214
Nfib,0.14817136798456781
Nr5a2,0.08967846448198842
Idh2,0.15420399803456622
Icam2,0.09749542087414467
Foxk2,0.13582280675826963
Fkbp8,0.12720129183949058
Ncl,0.10141121473371904
Mdh2,0.09767815026328865
Gclm,0.12173576411100684
Gng12,0.0901084009956091
Prdm5,0.12394687544966987
Hspa5,0.04387967368227949
Fzd4,0.06840253230458675
Hsp90ab1,0.060963523627552516
Kdr,0.06165109286731638
Taz,0.020831080775321725
Klf2,0.04874998168137086
Itgav,0.07187599101221896
Ets2,0.05984982811970242
Adgrl1,0.05550491783977195
Pbx3,0.04054962122701287
Hif1a,0.055040008557106335
Gjc1,0.041793099171566137
Tlnrd1,0.07961536631586073
Crem,0.05431251115262529
Auts2,0.04412168628712109
Smad1,0.049228367888221616
Ppia,0.03751315296611946
Sox13,0.027542889153747665
Dlg1,0.05361142593153489
Nr4a2,0.037907110783288595
Calcrl,0.046265025238393515
Unc5b,0.01925591116952507
E2f3,0.02496487188811677
Prdm16,0.031142126738927665
Dusp3,0.029122487747104128
Cdkn1c,0.023736217908745076
Foxo3,0.04050611183021685
Hdac7,0.01759006488222274
Dag1,0.027597585403590866
Sox5,0.02640738965744846
Ptprs,0.015760678332992238
Pon3,0.021527341768535442
Nrp1,0.014746858781510145
Prdm1,0.018239384385222667
Casp8,0.012886436285393932
Gria4,0.008830318760257243
Igf1r,0.020159722142584498
Gata2,0.013268974441401175
Ephb4,0.01910987641816612
Klf10,0.01032811119977915
Rad21,0.010587694009197823
Cd47,0.01328793598336789
Acvr1,0.01430213499159206
Mcam,0.007547172160906509
Ncoa3,0.004994746574364457
Rac1,0.012511682997038634
Ctbp2,0.010529406630620972
Arnt,0.010090830708487838
Sp4,0.009657723856606256
Dach1,0.004448409755990106
Foxp1,0.009621314523526204
Adgrl2,0.006365573651646297
Maff,0.0055077041124081075
Piezo1,0.0022179096636976104
Arid1b,0.006150710297405044
Fos,0.003978636415228258
Flrt2,0.004349943306042219
Nos3,0.00495012202123547
Vav3,0.0029494754413165463
Id1,0.005120408246846228
Egln2,0.004091447284721261
Ogdh,0.0021756446848253267
Foxj3,0.002555108452788257
Ebf1,0.002801689037003055
Igf2r,0.0022099931728032057
Elf1,0.0015410654588897742
Eno1,0.0015391818164240175
Ahr,0.0005260250793167562
Arl15,0.00045908202069380906
Bmpr2,0.0004757998898291498
Zfpm1,5.957795758115741e-05
Tfdp2,3.703363583955037e-05
Ptk2,4.1758279411202104e-05
Pik3r3,2.2406463029718236e-06
