grna_target,weighted_score
Epas1,0.2124778331485471
Ncoa1,0.40287197641861433
Plagl1,0.2407729212600857
Ccnd1,0.31358641503056867
Creb3l2,0.14790206282971266
Acvr2a,0.14586122632753215
Flt4,0.1510871218806435
Tek,0.028171769382682694
Mxi1,0.05554764854600256
Prdm16,0.09001195131349383
Zfhx3,0.1457949770212578
Ets2,0.049680371107197766
Tfdp1,0.1150727357879399
Fzd6,0.10565335336384277
Hsp90ab1,0.0804418181510485
Hif1a,0.04210305709712743
Sox13,0.03937113551683937
Plxna4,0.05721615134673473
Taz,0.008116162473630815
Ocln,0.033852398233655295
Plxna2,0.028630316905053823
Nfib,0.016837853195641444
Egfl7,0.015121573939015524
Arnt,0.014495600382094758
Idh2,0.018718228758855936
Adgre5,0.012293542808180513
Kdr,0.013137792215554549
Fos,0.001825052366590907
Crim1,0.013339731186097655
Nrp2,0.021993104577100422
Fkbp8,0.014717109553064142
Sox5,0.0007116594269379538
Gng12,0.005681989093935338
