grna_group,weighted_score
Foxj3,6.03560155898126e-07
Pon3,2.7576172466528423e-05
Adgrl1,5.3486938367076854e-05
Epha4,6.224873742412571e-05
Pkm,0.00015948793339439702
Nr6a1,0.0002047925503264278
Eno1,0.000297997545066154
Mcam,0.00034927893464467113
Ogdh,0.0010714902041670394
Gja1,0.0006191510228342358
Zfpm1,0.0015476517859586566
Ncoa1,0.0012151354707246919
Klf2,0.00178512848262896
Adgrl2,0.0017315326576516168
Disc1,0.0010159327169658304
Ncoa3,0.00380695710873863
Plagl1,0.00919000577957189
Ncl,0.003979496931262275
Nr5a2,0.0031545880994797507
Ptprs,0.0056060408435574085
Dach1,0.006780361429132536
Fzd4,0.003494070764835283
Mxi1,0.0033817734201114454
Mdh2,0.005619167721072008
Ocln,0.005337223005138394
Ctbp2,0.01933182810667374
Flt1,0.016270942181757873
Klf7,0.020730610201205694
Cd47,0.015450141138957102
Fkbp8,0.009760839229901933
Igf1r,0.03930625798792388
Piezo2,0.018289066254777983
Flt4,0.013094864446323143
Nr4a2,0.01963558740498271
Creb5,0.03753652984925023
Slc6a6,0.029883096139091802
Mecom,0.044904688399606596
Creb3l2,0.056670441781695786
Nrp2,0.03612859572399187
Gjc1,0.07357139212244695
Hspa5,0.07174401640330084
Pik3r3,0.17664892786404937
Nfib,0.052436106835805796
Dusp3,0.09301933724100582
Egfl7,0.0713560667173224
Icam2,0.1170767806816152
Gclm,0.19609851007832582
Crem,0.12159343072308593
Mpzl1,0.06866785645462532
Unc5b,0.224372590792065
Rad21,0.15593598880554788
Smad5,0.1771866857298347
Ccnd1,0.2189527493053496
Tek,0.23936330172726467
Kdr,0.14993534841353165
Ccser1,0.49030241699925453
Tfdp1,0.5107813613981689
Nr2c2,0.521228049378235
Zfhx3,0.4099916218585978
Cdkn1c,0.4105009572994777
Arid3b,0.4243879836915037
Cd81,0.6768108395527338
Acvr2a,1.3546791853160376
