gRNA_group,weighted_score
Acvr2a,1.911445377162944
Arid3b,0.7718630112229267
Rad21,0.6969226295742543
Fkbp8,1.0237297926513422
Tfdp1,0.7662761699775537
Mpzl1,0.48872765567340415
Zfhx3,0.32040529029812526
Kdr,0.7161358452061372
Nfib,0.33742210142382867
Tek,0.40770916870125185
Nr4a2,0.5930742030443715
Egfl7,0.3218253327650439
Nr2c2,0.35524601166862513
Ccser1,0.4201370662224479
Cd47,0.23330859723164915
Nrp2,0.42218611663268396
Creb3l2,0.2438037078761536
Dusp3,0.29458402883102724
Gjc1,0.32710203322957676
Cdkn1c,0.21959160199176606
Gclm,0.1976419700638311
Disc1,0.1670960632351989
Eno1,0.17992989451316424
Dag1,0.25789454100678644
Igf1r,0.20439287162420772
Pik3r3,0.38574871695206625
Piezo2,0.2489019243629951
Crem,0.2824795143437246
Foxp1,0.09484959941389356
Mdh2,0.1586794615825225
Fzd4,0.4015539222674794
Creb5,0.3557780231604054
Ccnd1,0.15177678381015092
Hspa5,0.34939070136820544
Ets2,0.2403342796579835
Prdm1,0.15729945972747827
Pon3,0.18474487118005453
Icam2,0.19596871668225962
Unc5b,0.10771758049612234
Klf7,0.278651932981349
Plxna2,0.28562323350918917
Mecom,0.15027390513404829
Itga1,0.09043553808174416
Ncoa1,0.1566426023576762
Elf1,0.17161595621709855
Plagl1,0.17610859917081562
Ctbp2,0.13753720836011255
Ocln,0.13170977229212036
Ncl,0.11353854381182295
Maff,0.08095812994162747
Id1,0.11922806748571373
Casp8,0.11881958931965228
Ncoa3,0.12279327907839854
Mxi1,0.1475010124859399
Flt1,0.10146420643395178
Fos,0.11174275255688872
Mcam,0.0666771504061697
Ptprs,0.06823432966031702
Tfdp2,0.1107801701796678
Ebf1,0.13843798473724273
Foxk2,0.09410129531785133
Calcrl,0.0812145209041165
Klf2,0.12377058420528184
Epas1,0.14832013271864028
Adgrl1,0.13026444889356406
Nr5a2,0.09786269335027506
Egln2,0.05825922312040363
Crim1,0.041913380550102394
Adgrl2,0.11131773367595467
Clstn1,0.09110210853205944
Foxj3,0.09516274296880536
Ephb4,0.04861602629074666
Yap1,0.05310517562764146
Hif1a,0.054059482145447764
Gnai2,0.021182265262471214
Nr4a1,0.06695331964602501
Prdm5,0.036036083288220944
Gja1,0.046481196293721064
Sox13,0.04752159628226399
Zfpm1,0.03603754385477556
Smad1,0.027598802208109913
Pkm,0.04127548628326877
Epha4,0.04177865280601351
Ppia,0.026017754031414132
Ahr,0.028747659018823847
Bmpr2,0.024859290356663687
Hsp90ab1,0.0405109533356804
Smad5,0.012188467806372527
Lpl,0.02223115958903965
Pbx3,0.027783220662229914
Vezf1,0.025983526231760836
Arl15,0.021876936004733956
Arnt,0.01973871726128843
Adgre5,0.014955672278583364
Nr3c1,0.016178637354198222
Gria4,0.012946393026279665
Flt4,0.007487589516685476
Slc6a6,0.01084580641740242
Il2rg,0.015640925063899483
Rora,0.014404460091284774
Notch1,0.013867664419393808
Dach1,0.015252744431018626
Foxo3,0.006140513257836698
Rac1,0.008868130176636846
Egln1,0.010621448980423633
Dlg1,0.004142555053043837
Ptk2,0.004935659255676354
Itgb1,0.005270689418703707
Foxo1,0.008298350737161793
Ogdh,0.005124956394196991
Klf4,0.005042284793196878
Auts2,0.003151638962423371
Flrt2,0.0030968376522062732
Acvr1,0.0031001316416466723
Nrp1,0.0035116835527394226
Tlnrd1,0.0013062226445433103
Nr6a1,0.002665153275332335
Ccm2,0.0018916224868491167
E2f3,0.0012890928731800963
Klf12,0.0008765056391668097
Rbpj,0.0007088810481954868
Nedd4,0.00031060858815375544
Cxcl12,0.00039697891857517754
Taz,0.00022326286709217755
Sp4,1.1934578113687152e-05
Nfia,1.2101496660136696e-05
Igf2r,2.7522403404116088e-06
